R@1_ag2ab,R@1_ag2ab_std,R@5_ag2ab,R@5_ag2ab_std,R@10_ag2ab,R@10_ag2ab_std,n_queries_ag2ab,R@1_ab2ag,R@1_ab2ag_std,R@5_ab2ag,R@5_ab2ag_std,R@10_ab2ag,R@10_ab2ag_std,n_queries_ab2ag,pool_size_ag2ab,pool_size_ab2ag,n_unique_substrates,n_unique_enzymes,split,fold,temperature,checkpoint,n_unique_pairs,n_test_hashes_pre_filter,n_test_hashes_post_filter
34.246,1.3181365634864992,57.923999999999985,1.1777198308596144,68.468,1.1207925767063192,500,49.78799999999999,0.7509034558450243,68.296,0.6409243325073527,75.744,0.48338804288066495,500,512,512,967,20270,mmseqs_040_filtered,0,0.060591275531693585,best_model_val_pred_acc_epoch_71.pth,20273,37335,20273
35.775999999999996,1.3857214727354121,59.14,1.0254754994635422,68.954,0.9674109778165595,500,54.885999999999996,0.7168012276775203,72.53199999999998,0.581184996365186,78.556,0.40750950909150546,500,512,512,954,22416,mmseqs_040_filtered,1,0.06292339829127609,best_model_val_pred_acc_epoch_44.pth,22425,38524,22425
30.7,1.288254633215034,55.028,1.0537627816543895,64.418,0.8025434567672962,500,57.29599999999999,0.9279999999999985,75.61,0.4217819341792631,79.97800000000001,0.4058521898425581,500,512,512,1018,19784,mmseqs_040_filtered,2,0.06259890219557249,best_model_val_pred_acc_epoch_94.pth,19799,36183,19799
38.048,1.4821929698929226,61.535999999999994,1.0181866233652856,71.786,1.012029643834607,500,54.994,0.7768938151382077,69.824,0.5232819507684174,74.97200000000001,0.42428292447375293,500,512,512,980,18966,mmseqs_040_filtered,3,0.060082981547412186,best_model_val_pred_acc_epoch_10.pth,18969,33530,18969
51.248000000000005,1.3284938840657126,76.36399999999999,0.9184247383427792,84.37800000000001,0.8187282821547088,500,78.464,0.9081321489739261,91.83200000000002,0.36847795049364884,94.108,0.26596240335806465,500,512,512,1194,25760,mmseqs_060_filtered,0,0.059695473138322214,best_model_val_pred_acc_epoch_19.pth,25765,34763,25765
48.792,1.374603942959572,74.17199999999998,1.086285413692001,82.324,0.7292626413028436,500,80.538,0.768736625899921,90.944,0.33356258783022963,93.17,0.2628687885618981,500,512,512,1189,26233,mmseqs_060_filtered,1,0.05881302677448881,best_model_val_pred_acc_epoch_12.pth,26246,35412,26246
52.0,1.5507417579984117,78.53200000000001,0.9291802839061983,85.95199999999998,0.8690776720178707,500,78.80200000000002,0.7987465179892815,89.308,0.3491933561796399,92.36399999999999,0.3141719274537455,500,512,512,1157,25142,mmseqs_060_filtered,2,0.06032554634006904,best_model_val_pred_acc_epoch_20.pth,25151,34177,25151
51.976000000000006,1.4838544403006662,78.90800000000002,0.9795590844864862,85.11000000000001,0.663551053047165,500,73.756,0.9013678494377322,88.58400000000003,0.40267108165350013,91.308,0.2567800615312657,500,512,512,1185,27216,mmseqs_060_filtered,3,0.06053376408324688,best_model_val_pred_acc_epoch_45.pth,27226,37637,27226
54.238,1.544718744626348,81.192,0.9797632367056806,88.52600000000002,0.7006596891501616,500,85.756,0.853032238546704,94.05,0.23558437978779018,95.236,0.202741214359585,500,512,512,1351,33076,mmseqs_080_filtered,0,0.05904708575465345,best_model_val_pred_acc_epoch_10.pth,33084,35234,33084
58.66799999999999,1.224490097959147,82.71599999999998,0.7955777774674206,88.42199999999997,0.5985950216966396,500,82.52399999999997,0.7148594267406715,90.66399999999997,0.40386136235099274,93.70999999999998,0.2984962311319817,500,512,512,1334,32617,mmseqs_080_filtered,1,0.06161909598030448,best_model_val_pred_acc_epoch_38.pth,32629,35734,32629
57.76800000000001,1.5668363028727652,82.446,0.8876283005853294,88.59799999999997,0.6965601194441162,500,86.34799999999997,0.6200774145217686,94.20800000000001,0.30188739622580846,95.92599999999999,0.3208177052470781,500,512,512,1320,32657,mmseqs_080_filtered,2,0.06543391276863546,best_model_val_pred_acc_epoch_33.pth,32664,35402,32664
56.76800000000001,1.4471268085416666,82.824,0.858501019218964,89.82800000000003,0.7093771916265708,500,78.47200000000001,1.0727609239714146,91.39,0.3626292872893755,93.426,0.22388389848312046,500,512,512,1335,32441,mmseqs_080_filtered,3,0.06012423708931701,best_model_val_pred_acc_epoch_17.pth,32452,34854,32452
